Alabama,Alaska,American Samoa,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,Diamond Princess,District of Columbia,Florida,Georgia,Grand Princess,Guam,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Northern Mariana Islands,Ohio,Oklahoma,Oregon,Pennsylvania,Puerto Rico,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virgin Islands,Virginia,Washington,West Virginia,Wisconsin,Wyoming
233211,0,0,95230,254076,0,20291,9800,0,0,24251,0,0,0,7279,0,73517,0,387324,272004,5302,41469,320025,12128,9459,324203,442408,433722,207769,0,84708,129608,0,53128,64006,91096,118889,579573,93801,29,712864,327135,0,615290,73760,6553,181322,100638,639444,1763247,276793,7083,2166,36379,0,85031,498368,47964
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
233211,0,0,96193,256696,0,20395,9800,0,0,24251,0,0,0,7293,0,74269,0,388141,273035,5384,41562,320025,12187,9469,354388,442408,434515,207769,0,85095,130527,0,53773,64466,92109,119953,579573,93980,29,720171,330478,0,627395,73760,6626,183146,100942,646144,1785578,279908,7177,2190,36577,0,86417,500685,48316
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
233211,0,0,97062,258483,0,20468,9800,0,0,24572,0,0,0,7293,0,75041,0,389773,273189,5384,41633,320025,12225,9471,354388,463106,436544,207769,0,85686,131242,0,54644,64877,93141,120901,579573,94148,29,724135,334643,0,631966,73760,6626,184542,101246,651283,1797979,281854,7294,2213,36817,0,88024,502593,48316
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
233211,0,0,97960,260034,0,20569,9800,0,0,24697,0,0,0,7293,0,75752,0,390699,274101,5384,41660,320025,12225,9474,354388,463106,437827,207769,0,85881,131828,0,55228,65274,94141,121923,579573,94309,29,731088,337228,0,631966,73760,6626,186248,101438,654335,1809067,283690,7396,2234,37076,0,88933,504238,48571
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
233211,0,0,98779,262229,0,20569,9800,0,0,24818,0,0,0,7319,0,76392,0,394046,273751,5432,41760,320025,12245,9476,354388,463106,439283,222812,0,86274,132453,0,56151,65519,95848,122544,635543,94381,29,736651,339014,0,638214,78813,6778,187423,101797,657031,1818785,285852,7476,2234,37191,0,89575,505987,49008
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
