Alabama,Alaska,American Samoa,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,Diamond Princess,District of Columbia,Florida,Georgia,Grand Princess,Guam,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Northern Mariana Islands,Ohio,Oklahoma,Oregon,Pennsylvania,Puerto Rico,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virgin Islands,Virginia,Washington,West Virginia,Wisconsin,Wyoming
16826,1051,0,25557,9498,78548,10799,9769,2480,0,1267,63763,32294,3,276,1142,4322,32278,20751,8317,7321,12687,15324,1698,13101,21402,31502,11291,10721,17252,2976,3569,8735,2135,30746,6259,63191,20193,2116,22,35101,12968,5936,39487,3673,3240,15108,2601,22056,78055,4030,514,96,15852,10405,5609,11946,1601
6657,259,0,12170,4563,36188,5482,6819,1254,0,870,25164,13246,3,128,336,1668,20645,10950,4486,3616,3386,8483,544,6837,14064,15181,6131,5752,6841,1141,1879,4011,981,20934,3115,41950,8586,1436,2,16628,3231,1877,20527,1771,2256,6479,1696,8819,34725,1582,170,24,6079,4114,1872,6184,571
16826,1051,0,25623,9510,78611,10799,9769,2480,0,1267,63763,32294,3,276,1146,4322,32278,20751,8317,7321,12687,15324,1698,13123,21402,31502,11291,10721,17253,2976,3569,8735,2135,30759,6259,63413,20193,2116,22,35248,12968,5936,39538,3696,3240,15108,2601,22073,78118,4030,514,96,15852,10405,5609,11946,1601
6660,259,0,12238,4606,36418,5505,6819,1267,0,872,25293,13250,3,128,342,1669,20680,10996,4487,3616,3421,8565,544,6865,14133,15181,6163,5772,6848,1151,1879,4026,987,20951,3145,42144,8695,1436,2,16736,3279,1880,20606,1773,2272,6547,1705,8859,34911,1595,170,24,6078,4114,1895,6190,571
16826,1072,0,25624,9532,78793,10847,9774,2480,0,1275,63763,32389,3,280,1146,4331,32588,20796,8317,7338,12763,15374,1698,13158,21514,31539,11333,10734,17275,2985,3569,8759,2145,30799,6292,63519,20289,2116,22,35372,13063,5953,39560,3704,3253,15108,2606,22160,78180,4063,521,97,15948,10458,5645,12010,1601
6662,259,0,12239,4650,36640,5512,6911,1271,0,879,25446,13303,3,129,342,1681,20744,11037,4488,3645,3460,8590,547,6900,14178,15219,6166,5777,6855,1151,1894,4029,990,20972,3157,42357,8720,1436,2,16837,3293,1882,20668,1778,2285,6552,1705,8970,35090,1597,171,24,6081,4148,1899,6199,571
16914,1072,0,25624,9556,78882,10933,9773,2489,0,1278,64368,32488,3,282,1146,4345,32709,20928,8317,7338,12786,15476,1714,13233,21669,31539,11370,10755,17309,2987,3604,8796,2170,30950,6317,63824,20335,2125,22,35498,13074,5994,39749,3731,3263,15108,2609,22217,78332,4073,523,97,16002,10458,5650,12112,1625
6896,260,0,12448,4690,37308,5517,6934,1276,0,888,25673,13482,3,129,401,1688,20853,11087,4492,3646,3495,8621,558,6963,14220,15305,6174,5852,6984,1185,1905,4088,994,21105,3171,42537,8776,1440,2,16924,3323,1904,20895,1783,2296,6578,1705,9162,35420,1613,171,24,6174,4167,1928,6264,596
16826,1081,0,25899,9574,79134,10953,9901,2493,0,1280,64368,32603,3,283,1149,4357,32852,21056,8501,7391,12817,15523,1716,13280,21752,31985,11422,10774,17346,2990,3632,8836,2173,31093,6357,64094,20440,2135,22,35652,13125,6048,39932,3754,3275,15155,2623,22285,78624,4091,527,98,16052,10580,5674,12155,1625
7172,261,0,12643,4742,38024,5552,6976,1283,0,895,25833,13643,3,129,404,1714,20949,11137,4500,3740,3542,8688,562,6996,14304,15314,6192,5917,7018,1201,1917,4134,1006,21220,3198,42699,8915,1441,2,17004,3388,1924,21111,1794,2303,6673,1739,9316,35877,1620,172,24,6228,4211,1953,6302,596
16826,1081,0,25932,9596,79395,11005,9908,2494,0,1282,64368,32718,3,284,1159,4365,33001,21165,8501,7391,12856,15570,1728,13334,21839,31985,11489,10806,17362,2990,3657,8874,2193,31208,6391,64285,20517,2137,23,35768,13129,6067,40257,3773,3288,15181,2628,22355,78855,4097,529,98,16088,10580,5697,12178,1625
7340,262,0,12819,4784,38643,5569,7020,1292,0,902,26035,13827,3,129,406,1721,21074,11180,4532,3741,3611,8743,567,7037,14348,15402,6208,5945,7041,1210,1921,4181,1022,21301,3226,42905,9046,1442,2,17087,3423,1930,21301,1801,2317,6903,1763,9417,36292,1620,172,24,6308,4243,1983,6334,596
17047,1085,0,26001,9616,79685,11061,9985,2498,0,1284,64955,32868,3,285,1164,4400,33121,21301,8501,7519,12890,15631,1733,13387,21909,32197,11532,10831,17393,2993,3666,8913,2205,31320,6417,64516,20595,2140,23,35871,13210,6086,40394,3809,3302,15266,2637,22473,79067,4107,532,99,16127,10699,5743,12291,1625
7566,262,0,13022,4831,39290,5594,7046,1299,0,907,26254,13986,3,129,407,1725,21146,11220,4577,3802,3668,8801,570,7076,14444,15410,6236,5983,7055,1227,1921,4218,1036,21383,3248,43090,9157,1444,2,17172,3471,1938,21470,1812,2324,6942,1768,9461,36650,1655,172,24,6379,4285,2006,6390,596
17086,1085,0,26183,9616,79760,11061,9985,2531,0,1284,64955,32868,3,285,1173,4405,33121,21301,8501,7519,12890,15631,1738,13432,21909,32197,11532,10831,17402,2993,3666,8913,2205,31391,6417,64718,20595,2140,23,35969,13210,6086,40548,3837,3302,15266,2637,22478,79267,4107,533,99,16127,10699,5743,12291,1625
7566,262,0,13098,4838,39878,5620,7046,1301,0,909,26360,14196,3,129,407,1725,21213,11262,4651,3802,3714,8801,590,7107,14531,15525,6255,6018,7070,1232,1920,4264,1042,21455,3265,43268,9287,1447,2,17255,3504,1957,21598,1823,2333,7014,1775,9574,36924,1663,173,24,6449,4285,2015,6430,596
17086,1085,0,26206,9616,79797,11061,9985,2531,0,1284,64955,32868,3,285,1180,4405,33121,21301,8501,7519,12890,15631,1738,13465,21909,32197,11532,10831,17403,2993,3666,8913,2205,31412,6417,64778,20595,2140,23,36067,13210,6086,40563,3854,3302,15266,2637,22524,79374,4107,533,99,16127,10699,5743,12291,1625
7688,262,0,13120,4868,40212,5640,7046,1305,0,913,26479,14198,3,129,410,1725,21253,11296,4901,3804,3745,8859,590,7127,14577,15525,6268,6045,7071,1233,1920,4270,1057,21484,3283,43450,9335,1447,2,17328,3547,1957,21656,1829,2341,7042,1778,9650,37074,1665,174,24,6464,4285,2024,6434,596
17086,1085,0,26205,9628,80039,11115,10010,2531,0,1284,65265,32976,3,290,1181,4421,33346,21356,8501,7533,12960,15674,1738,13484,22034,32263,11561,10935,17415,3000,3666,8950,2209,31442,6454,64846,20757,2140,23,36161,13333,6100,40581,3855,3316,15266,2650,22679,79447,4118,536,101,16217,10776,5763,12374,1625
7688,262,0,13124,4895,40406,5641,7119,1308,0,916,26685,14242,3,129,410,1735,21273,11331,4906,3834,3780,8912,595,7154,14607,15536,6270,6056,7074,1234,1920,4278,1059,21513,3295,43622,9342,1447,2,17398,3564,1958,21695,1836,2352,7283,1778,9753,37245,1668,175,24,6474,4318,2028,6436,596
17146,1085,0,26345,9667,80172,11164,10076,2544,0,1290,65271,33053,3,294,1181,4425,33469,21487,8501,7533,12975,15744,1751,13532,22164,32263,11607,11044,17730,3016,3705,9011,2223,31557,6473,65060,20817,2154,23,36280,13341,6124,40836,3867,3329,15508,2660,22752,79699,4138,542,101,16252,10776,5778,12453,1650
7894,279,0,13362,4939,40968,5650,7133,1316,0,916,26822,14450,3,129,410,1741,21336,11371,4919,3834,3812,8953,618,7188,14652,15609,6278,6132,7340,1249,1929,4324,1059,21584,3310,43793,9409,1447,2,17474,3602,1981,21820,1846,2366,7318,1779,9900,37619,1685,176,24,6517,4316,2031,6480,624
17215,1093,0,26369,9690,80493,11178,10083,2552,0,1290,65273,33163,3,296,1191,4453,33556,21598,8657,7574,12996,15781,1759,13572,22255,32638,11666,11170,17808,3026,3705,9049,2232,31663,6488,65257,20904,2162,23,36402,13412,6163,41028,3887,3334,15609,2665,22819,79993,4150,545,102,16412,10845,5814,12509,1650
8203,279,0,13576,4985,41586,5664,7157,1318,0,926,27019,14587,3,129,414,1748,21420,11408,4975,3909,3863,9006,627,7220,14708,15644,6302,6158,7415,1303,1931,4373,1076,21693,3338,43959,9578,1447,2,17558,3654,1991,21961,1853,2380,7394,1782,10033,38039,1697,179,24,6575,4388,2058,6496,624
17215,1093,0,26430,9733,80675,11194,10083,2555,0,1291,65273,33294,3,296,1194,4466,33556,21666,8657,7574,13026,15841,1777,13611,22316,32638,11711,11202,17838,3029,3705,9083,2239,31769,6516,65421,21027,2168,23,36506,13481,6181,41199,3908,3341,15744,2677,22894,80292,4160,548,102,16548,10845,5829,12548,1650
8365,279,0,13752,5009,42352,5682,7185,1321,0,932,27247,14756,3,129,416,1747,21497,11597,5033,3909,3921,9044,630,7251,14784,15725,6319,6182,7441,1308,1952,4424,1085,21793,3355,44109,9728,1447,2,17628,3681,1998,22091,1861,2387,7487,1788,10202,38453,1711,181,24,6650,4416,2080,6545,624
17371,1093,0,26530,9762,80914,11202,10159,2563,0,1293,66282,33402,3,296,1204,4478,33729,21712,8657,7713,13063,15905,1800,13655,22379,32873,11749,11250,17847,3031,3755,9143,2246,31868,6535,65578,21097,2174,23,36578,13532,6214,41359,3925,3354,15791,2687,22926,80461,4173,553,102,16703,10967,5846,12600,1650
8449,279,0,13948,5050,42970,5705,7214,1325,0,940,27457,14858,3,129,416,1758,21603,11686,5067,4112,3971,9076,632,7287,14859,15750,6341,6222,7455,1307,1958,4463,1091,21886,3378,44277,9841,1451,2,17691,3710,2002,22251,1867,2393,7553,1798,10405,38893,1728,181,24,6732,4449,2100,6575,624
17371,1093,0,26628,9793,80998,11202,10159,2576,0,1293,66279,33402,3,296,1222,4479,33729,21712,8657,7713,13063,15905,1804,13691,22379,32873,11749,11250,17855,3031,3755,9143,2246,31948,6535,65626,21097,2177,23,36648,13532,6214,41524,3939,3354,15791,2687,22929,80662,4173,553,102,16703,10967,5846,12600,1650
8513,279,0,14011,5061,43405,5722,7214,1329,0,947,27599,15090,3,129,416,1767,21676,11752,5108,4112,4020,9076,634,7329,14921,15854,6357,6266,7472,1312,1968,4496,1098,21964,3386,44478,9926,1453,2,17760,3761,2020,22396,1872,2400,7611,1804,10463,39182,1733,182,24,6773,4449,2119,6611,624
17371,1093,0,26639,9831,81062,11202,10159,2576,0,1293,66279,33402,3,296,1226,4479,33729,21712,8657,7713,13063,15905,1804,13724,22379,32873,11749,11250,17865,3031,3755,9143,2246,31966,6535,65760,21097,2177,23,36726,13532,6214,41538,3944,3354,15791,2687,22935,80700,4173,553,102,16703,10967,5846,12600,1650
8515,279,0,14048,5076,43671,5731,7214,1335,0,952,27696,15092,3,129,418,1767,21738,11817,5108,4113,4051,9119,635,7349,14999,15854,6367,6269,7474,1314,1968,4520,1104,21989,3399,44657,9983,1453,2,17820,3813,2023,22460,1883,2412,7651,1809,10469,39322,1736,183,24,6778,4449,2129,6613,624
17387,1093,0,26639,9867,81347,11404,10159,2576,0,1304,66463,33545,3,298,1226,4496,33916,21812,8657,7719,13156,15953,1804,13745,22472,32911,11784,11285,17879,3037,3755,9185,2260,31987,6555,65831,21249,2177,23,36803,13594,6244,41585,3945,3363,15929,2691,23049,80771,4191,553,102,17107,11099,5877,12669,1650
8523,279,0,14055,5106,43853,5733,7282,1339,0,956,27815,15130,3,130,418,1776,21779,11875,5110,4205,4091,9142,636,7372,15054,15863,6370,6270,7475,1314,1968,4522,1106,22011,3412,44781,9991,1454,2,17886,3817,2024,22489,1888,2420,7690,1809,10566,39482,1738,183,24,6820,4451,2131,6614,624
