nc101_code	D2_01	D2_02	D2_03	W12_01	W12_02	W12_03	w20_01	w20_02	w20_03	w20_04	w20_05
NC101_03163	81	18	5	31	98	38	75	28	111	95	15
NC101_03164	6	2	0	8	23	6	28	9	4	45	70
NC101_03165	1	7	2	0	11	5	16	3	24	15	98
NC101_03166	2	2	0	0	1	0	1	7	2	3	18
NC101_03167	4	0	0	3	9	3	6	1	4	2	13
NC101_03168	1	0	0	2	1	2	2	0	7	1	5
NC101_03169	0	0	0	0	2	1	0	0	1	2	16
NC101_03170	3	3	0	2	19	11	8	5	13	7	35
NC101_03171	4	1	0	3	9	0	2	1	9	10	15
NC101_03172	7	2	2	2	12	0	6	2	6	12	30
NC101_03173	2	0	0	1	2	0	4	1	2	2	15
NC101_03174	3	0	2	1	19	5	8	2	7	2	36
NC101_03175	2	0	0	0	15	4	2	0	3	2	15
NC101_03176	14	0	0	4	27	6	8	4	10	12	27
NC101_03177	13	1	1	2	33	9	11	2	7	7	79
NC101_03178	5	5	0	7	14	10	6	4	10	11	20
NC101_03179	27	10	6	20	52	34	59	34	66	61	49
NC101_03180	9	3	0	21	66	14	30	16	35	37	64
NC101_03181	5	3	0	5	39	0	16	8	18	23	64
NC101_03182	6836	1024	763	468	2694	1064	1975	689	1130	924	200
NC101_03183	32	6	2	18	68	30	39	13	52	36	69
NC101_03184	20	0	0	4	15	3	10	9	22	21	10
NC101_03185	46	18	3	49	77	50	82	30	168	108	76
NC101_03186	19	8	0	39	109	27	114	58	179	134	25
NC101_03187	86	55	17	128	514	120	123	115	662	444	74
NC101_03188	0	0	0	1	10	5	8	5	13	4	4
NC101_03189	7	1	0	0	18	5	3	4	12	2	11
NC101_03190	13	5	0	6	43	18	10	3	35	24	39
NC101_03191	71	8	10	98	654	59	36	24	199	50	116
NC101_03192	1	2	0	7	30	7	3	5	27	9	13
NC101_03193	11	7	6	9	52	25	20	15	37	19	18
NC101_03194	190	77	22	88	202	105	242	144	611	376	49
NC101_03195	53	10	7	25	113	41	84	43	168	153	33
NC101_03196	9	9	2	2	55	10	19	26	85	74	21
NC101_03197	28	6	5	11	50	17	44	32	98	53	20
NC101_03198	21	8	0	18	87	26	55	32	84	60	98
NC101_03199	90	34	18	29	159	90	357	130	500	397	41
NC101_03200	105	53	18	89	488	160	500	288	556	531	93
NC101_03201	91	21	14	75	537	154	532	285	508	745	241
NC101_03202	48	12	1	54	193	91	120	96	215	179	51
NC101_03203	441	155	61	266	319	417	300	226	598	503	150
NC101_03204	82	29	15	77	256	137	311	168	447	386	189
NC101_03205	36	16	10	58	196	75	239	132	272	236	265
